Drug ID,Species,BBB,Genes,Num Genes,Mean Mean,Mean STD,Drug Relevance Score
DB00679,Humans,False,"['ADRA1A', 'ADRA1B', 'DRD2', 'HTR2A']",4,0.00992560721495,0.008028001765810925,0.2847480167825248
DB11640,Humans,False,['KCNA1'],1,0.0194380964,0.0060126518528676,0.27882220604049046
DB01198,Humans,False,"['GABRA1', 'GABRA3', 'GABRA5']",3,0.011188452562666665,0.006332665227981733,0.27797406598160124
DB00898,Humans,True,"['GABRA1', 'GLRA1', 'GRIN3A']",3,0.011168112126653335,0.009596618690294333,0.2774687133717747
DB09016,Humans,False,"['HRH1', 'HTR2A']",2,0.01353553269999995,0.006653266002404,0.27457688744760866
DB00434,Humans,False,"['HRH1', 'HTR2A']",2,0.01353553269999995,0.006653266002404,0.27457688744760866
DB09195,Humans,False,"['ADRA1A', 'ADRA1B', 'HRH1', 'HTR2A']",4,0.009569206590734975,0.00561548848446995,0.27452351678695514
DB12688,Humans,True,['CD22'],1,0.019109228292,0.0147220895215078,0.27410488550240925
DB05889,Humans,True,['CD22'],1,0.019109228292,0.0147220895215078,0.27410488550240925
DB08865,Humans,False,"['ALK', 'MET']",2,0.013414003634,0.01605084179273135,0.27211159306900756
DB00915,Humans,False,"['DRD2', 'GRIN3A']",2,0.01334769251843,0.013513209320339399,0.2707664299254551
DB01261,Humans,False,['DPP4'],1,0.0184331627,0.0080588216067647,0.2644073258283297
DB08382,Humans,False,['DPP4'],1,0.0184331627,0.0080588216067647,0.2644073258283297
DB06203,Humans,False,['DPP4'],1,0.0184331627,0.0080588216067647,0.2644073258283297
DB06335,Humans,False,['DPP4'],1,0.0184331627,0.0080588216067647,0.2644073258283297
DB08882,Humans,False,['DPP4'],1,0.0184331627,0.0080588216067647,0.2644073258283297
DB04876,Humans,False,['DPP4'],1,0.0184331627,0.0080588216067647,0.2644073258283297
DB13932,Humans,True,['RPE65'],1,0.01821531914,0.0169727866621785,0.2612825536942171
DB00210,Humans,False,"['JUN', 'RARB', 'RARG', 'RXRG', 'TLR2']",5,0.00808050524359998,0.00726948117716654,0.2591774102508163
DB09389,Humans,False,['PGR'],1,0.017970739,0.0075439888135065,0.2577742690975582
DB01431,Humans,False,['PGR'],1,0.017970739,0.0075439888135065,0.2577742690975582
DB01406,Humans,False,['PGR'],1,0.017970739,0.0075439888135065,0.2577742690975582
DB00823,Humans,False,['PGR'],1,0.017970739,0.0075439888135065,0.2577742690975582
DB00603,Humans,False,['PGR'],1,0.017970739,0.0075439888135065,0.2577742690975582
DB00717,Humans,False,['PGR'],1,0.017970739,0.0075439888135065,0.2577742690975582
DB00294,Humans,False,['PGR'],1,0.017970739,0.0075439888135065,0.2577742690975582
DB00304,Humans,False,['PGR'],1,0.017970739,0.0075439888135065,0.2577742690975582
DB00957,Humans,False,['PGR'],1,0.017970739,0.0075439888135065,0.2577742690975582
DB00351,Humans,False,['PGR'],1,0.017970739,0.0075439888135065,0.2577742690975582
DB14583,Humans,False,['PGR'],1,0.017970739,0.0075439888135065,0.2577742690975582
DB09123,Humans,False,['PGR'],1,0.017970739,0.0075439888135065,0.2577742690975582
DB06713,Humans,False,['PGR'],1,0.017970739,0.0075439888135065,0.2577742690975582
DB00367,Humans,False,['PGR'],1,0.017970739,0.0075439888135065,0.2577742690975582
DB06730,Humans,False,['PGR'],1,0.017970739,0.0075439888135065,0.2577742690975582
DB09124,Humans,False,['PGR'],1,0.017970739,0.0075439888135065,0.2577742690975582
DB00378,Humans,False,['PGR'],1,0.017970739,0.0075439888135065,0.2577742690975582
DB13857,Humans,False,['PGR'],1,0.017970739,0.0075439888135065,0.2577742690975582
DB04787,Humans,False,['PGR'],1,0.017970739,0.0075439888135065,0.2577742690975582
DB01103,Humans,False,['PLA2G4A'],1,0.01786928018,0.0290751281774834,0.2563189325546925
DB01173,Humans,False,"['GRIN3A', 'HRH1']",2,0.01263489126999995,0.00868818275765745,0.25630680336323686
