Drug ID,Species,BBB,Genes,Num Genes,Mean Mean,Mean STD,Drug Relevance Score
DB08906,Humans,False,['NR3C1'],1,0.181296924,0.0741667325473765,0.37065899937578584
DB00240,Humans,False,['NR3C1'],1,0.181296924,0.0741667325473765,0.37065899937578584
DB00838,Humans,False,['NR3C1'],1,0.181296924,0.0741667325473765,0.37065899937578584
DB00769,Humans,False,['NR3C1'],1,0.181296924,0.0741667325473765,0.37065899937578584
DB00223,Humans,False,['NR3C1'],1,0.181296924,0.0741667325473765,0.37065899937578584
DB00764,Humans,False,['NR3C1'],1,0.181296924,0.0741667325473765,0.37065899937578584
DB01410,Humans,False,['NR3C1'],1,0.181296924,0.0741667325473765,0.37065899937578584
DB01130,Humans,False,['NR3C1'],1,0.181296924,0.0741667325473765,0.37065899937578584
DB00620,Humans,False,['NR3C1'],1,0.181296924,0.0741667325473765,0.37065899937578584
DB01380,Humans,False,['NR3C1'],1,0.181296924,0.0741667325473765,0.37065899937578584
DB00180,Humans,False,['NR3C1'],1,0.181296924,0.0741667325473765,0.37065899937578584
DB01234,Humans,False,['NR3C1'],1,0.181296924,0.0741667325473765,0.37065899937578584
DB01260,Humans,False,['NR3C1'],1,0.181296924,0.0741667325473765,0.37065899937578584
DB09095,Humans,False,['NR3C1'],1,0.181296924,0.0741667325473765,0.37065899937578584
DB00663,Humans,False,['NR3C1'],1,0.181296924,0.0741667325473765,0.37065899937578584
DB15566,Humans,False,['NR3C1'],1,0.181296924,0.0741667325473765,0.37065899937578584
DB13158,Humans,False,['NR3C1'],1,0.181296924,0.0741667325473765,0.37065899937578584
DB01384,Humans,False,['NR3C1'],1,0.181296924,0.0741667325473765,0.37065899937578584
DB00635,Humans,False,['NR3C1'],1,0.181296924,0.0741667325473765,0.37065899937578584
DB00547,Humans,False,['NR3C1'],1,0.181296924,0.0741667325473765,0.37065899937578584
DB01047,Humans,False,['NR3C1'],1,0.181296924,0.0741667325473765,0.37065899937578584
DB00959,Humans,False,['NR3C1'],1,0.181296924,0.0741667325473765,0.37065899937578584
DB00394,Humans,False,['NR3C1'],1,0.181296924,0.0741667325473765,0.37065899937578584
DB06781,Humans,False,['NR3C1'],1,0.181296924,0.0741667325473765,0.37065899937578584
DB01013,Humans,False,['NR3C1'],1,0.181296924,0.0741667325473765,0.37065899937578584
DB00443,Humans,False,['NR3C1'],1,0.181296924,0.0741667325473765,0.37065899937578584
DB01222,Humans,False,['NR3C1'],1,0.181296924,0.0741667325473765,0.37065899937578584
DB14512,Humans,False,['NR3C1'],1,0.181296924,0.0741667325473765,0.37065899937578584
DB00896,Humans,False,['NR3C1'],1,0.181296924,0.0741667325473765,0.37065899937578584
DB00324,Humans,False,['NR3C1'],1,0.181296924,0.0741667325473765,0.37065899937578584
DB00288,Humans,False,['NR3C1'],1,0.181296924,0.0741667325473765,0.37065899937578584
DB13867,Humans,False,['NR3C1'],1,0.181296924,0.0741667325473765,0.37065899937578584
DB00860,Humans,False,['NR3C1'],1,0.181296924,0.0741667325473765,0.37065899937578584
DB00846,Humans,False,['NR3C1'],1,0.181296924,0.0741667325473765,0.37065899937578584
DB00255,Humans,False,"['ESR1', 'ESR2', 'ESRRG']",3,0.10321271311246666,0.05522828731912174,0.36549205017171343
DB13751,Humans,False,['NFKB1'],1,0.1781106852,0.0629062080855889,0.3641447791710332
DB01041,Humans,False,"['FGFR2', 'NFKB1']",2,0.12274237843000001,0.05636763585029905,0.3548899049135728
DB00451,Humans,False,"['ITGAV', 'THRA', 'THRB']",3,0.09958697802866667,0.06362537973094397,0.35265276604482904
DB01023,Humans,False,"['CACNA2D1', 'CACNB2']",2,0.1207076404,0.05942980521197985,0.3490067861796259
DB00622,Humans,False,"['CACNA2D1', 'CACNB2']",2,0.1207076404,0.05942980521197985,0.3490067861796259
DB00401,Humans,False,"['CACNA2D1', 'CACNB2']",2,0.1207076404,0.05942980521197985,0.3490067861796259
DB06712,Humans,False,"['CACNA2D1', 'CACNB2']",2,0.1207076404,0.05942980521197985,0.3490067861796259
DB01054,Humans,False,"['CACNA2D1', 'CACNB2']",2,0.1207076404,0.05942980521197985,0.3490067861796259
DB13955,Humans,False,"['ESR1', 'ESR2']",2,0.1200777721587,0.041806797837148996,0.3471856231622372
DB01108,Humans,False,"['ESR1', 'ESR2']",2,0.1200777721587,0.041806797837148996,0.3471856231622372
DB00783,Humans,False,"['ESR1', 'ESR2']",2,0.1200777721587,0.041806797837148996,0.3471856231622372
DB00286,Humans,True,"['ESR1', 'ESR2']",2,0.1200777721587,0.041806797837148996,0.3471856231622372
DB01196,Humans,False,"['ESR1', 'ESR2']",2,0.1200777721587,0.041806797837148996,0.3471856231622372
DB13956,Humans,False,"['ESR1', 'ESR2']",2,0.1200777721587,0.041806797837148996,0.3471856231622372
DB00481,Humans,False,"['ESR1', 'ESR2']",2,0.1200777721587,0.041806797837148996,0.3471856231622372
