Drug ID,Species,BBB,Genes,Num Genes,Mean Mean,Mean STD,Drug Relevance Score
DB01262,Humans,False,['DNMT1'],1,0.1265635768,0.0774387359023901,0.09516794493838737
DB00939,Humans,False,"['ALOX5', 'PTGS1', 'PTGS2']",3,0.07301673121999992,0.0485956251825155,0.09509659466455782
DB08895,Humans,False,['JAK2'],1,0.1244195664,0.1130725850376758,0.09355578234901174
DB08877,Humans,False,['JAK2'],1,0.1244195664,0.1130725850376758,0.09355578234901174
DB11718,Humans,False,['CCND1'],1,0.12188853324,0.1923528632051045,0.09165260269418302
DB00148,Humans,False,['CKB'],1,0.1212263272,0.0573726610813832,0.09115466490239499
DB13191,Humans,False,['CKB'],1,0.1212263272,0.0573726610813832,0.09115466490239499
DB04845,Humans,False,['TUBB3'],1,0.1121218532,0.0337230953829956,0.08430866621752707
DB11181,Humans,False,['CHRM2'],1,0.1110203458,0.107906031271994,0.08348040110174199
DB13581,Humans,False,['CHRM2'],1,0.1110203458,0.107906031271994,0.08348040110174199
DB00424,Humans,False,['CHRM2'],1,0.1110203458,0.107906031271994,0.08348040110174199
DB00785,Humans,True,['CHRM2'],1,0.1110203458,0.107906031271994,0.08348040110174199
DB00809,Humans,False,['CHRM2'],1,0.1110203458,0.107906031271994,0.08348040110174199
DB00505,Humans,False,['CHRM2'],1,0.1110203458,0.107906031271994,0.08348040110174199
DB01148,Humans,False,['CHRM2'],1,0.1110203458,0.107906031271994,0.08348040110174199
DB01085,Humans,False,['CHRM2'],1,0.1110203458,0.107906031271994,0.08348040110174199
DB01062,Humans,False,['CHRM2'],1,0.1110203458,0.107906031271994,0.08348040110174199
DB00387,Humans,False,['CHRM2'],1,0.1110203458,0.107906031271994,0.08348040110174199
DB11855,Humans,False,['CHRM2'],1,0.1110203458,0.107906031271994,0.08348040110174199
DB04834,Humans,False,['CHRM2'],1,0.1110203458,0.107906031271994,0.08348040110174199
DB01036,Humans,False,['CHRM2'],1,0.1110203458,0.107906031271994,0.08348040110174199
DB00411,Humans,False,['CHRM2'],1,0.1110203458,0.107906031271994,0.08348040110174199
DB08897,Humans,False,['CHRM2'],1,0.1110203458,0.107906031271994,0.08348040110174199
DB00986,Humans,False,['CHRM2'],1,0.1110203458,0.107906031271994,0.08348040110174199
DB09076,Humans,False,['CHRM2'],1,0.1110203458,0.107906031271994,0.08348040110174199
DB01231,Humans,False,['CHRM2'],1,0.1110203458,0.107906031271994,0.08348040110174199
DB00462,Humans,False,['CHRM2'],1,0.1110203458,0.107906031271994,0.08348040110174199
DB09262,Humans,False,['CHRM2'],1,0.1110203458,0.107906031271994,0.08348040110174199
DB00332,Humans,False,['CHRM2'],1,0.1110203458,0.107906031271994,0.08348040110174199
DB00508,Humans,False,['CHRM2'],1,0.1110203458,0.107906031271994,0.08348040110174199
DB00517,Humans,False,['CHRM2'],1,0.1110203458,0.107906031271994,0.08348040110174199
DB06709,Humans,False,['CHRM2'],1,0.1110203458,0.107906031271994,0.08348040110174199
