,Cell Type,Fold,AUPRC,Validation AUPRC
0,astro,0,0.02014843397366871,0.03078135930458143
1,astro,1,0.030092095721233208,0.015615996714086637
2,astro,2,0.024949248092623433,0.028454742042659326
3,astro,3,0.0378978150040009,0.04026168640524256
4,astro,4,0.024960361133360854,0.014264996085055976
5,endo,0,0.02808187834483755,0.013338176509323594
6,endo,1,0.027885259648490226,0.02193783441488661
7,endo,2,0.03751842619019032,0.027575824366652665
8,endo,3,0.02403221695655699,0.03962923601257616
9,endo,4,0.02321487748768833,0.03400907212184683
10,excitatory,0,0.03738613750878267,0.029533733283109695
11,excitatory,1,0.03585728843434679,0.02237187605625395
12,excitatory,2,0.07671395761010433,0.04136763623031202
13,excitatory,3,0.02292209992790006,0.02406765851682601
14,excitatory,4,0.05751388523808564,0.019561484222938685
15,inhibitory,0,0.07101180408436192,0.010676563272135703
16,inhibitory,1,0.04474819487333498,0.1460668289643839
17,inhibitory,2,0.047643198293874325,0.037344264416558616
18,inhibitory,3,0.025175423131992065,0.034065882504359934
19,inhibitory,4,0.06553511408506354,0.010102400090639507
20,micro,0,0.036476411875204076,0.02547989026061151
21,micro,1,0.030443750312985567,0.03301686922750717
22,micro,2,0.030500845280684682,0.023012923372364248
23,micro,3,0.024408505455088006,0.030544826437861453
24,micro,4,0.031031770637831736,0.03209994055632129
25,oligo,0,0.03549311533273468,0.037556496655337564
26,oligo,1,0.03141386904449424,0.0266020286674004
27,oligo,2,0.04003763334452959,0.016604772751209328
28,oligo,3,0.03190503061173283,0.022861123910806497
29,oligo,4,0.039519588614708175,0.031508461369139706
30,opc,0,0.03312971287999593,0.02021951789085221
31,opc,1,0.021697908004965703,0.016748217846911828
32,opc,2,0.03028726067237076,0.02548494244350319
33,opc,3,0.03059552514450909,0.017620369107253675
34,opc,4,0.021613441116659367,0.026227003258796705
35,vlmc,0,0.019752003347631428,0.04697873848004014
36,vlmc,1,0.027598954747088032,0.016479848910904177
37,vlmc,2,0.025505180857395924,0.024802811546166804
38,vlmc,3,0.031802869122590165,0.02306585888331853
39,vlmc,4,0.025843466632329885,0.019722502844541218
